Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Australia,AUS,38343.002147534,38559.9041923683,39616.3360972665,40298.8860528145,41449.8419535385,42217.136349705,42761.4056075413,44128.727085347,44835.3614074555,44771.4842140369,44991.7837148741,45463.6819958564,46427.3681999004,46814.7415105804,47289.9646101072,47636.319641906
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Austria,AUT,46403.2776992589,46811.746772924,47351.3346982706,47564.8638976916,48563.5886574222,49316.2647023136,50767.8484448075,52489.7572106205,53089.8763414956,50957.6063796813,51769.1455641151,53102.950844304,53221.0786648309,52921.8171022969,52857.0563215416,52798.0994607541
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Azerbaijan,AZE,4063.47164104466,4431.28987324473,4813.50418477741,5264.84052596649,5701.90326352629,7222.03607503781,9605.09610840819,11914.994832597,12903.1519167445,13822.0911094279,14312.7561158751,13905.2457636452,14023.9807176578,14652.7042457179,14875.7816413327,14853.9105525729
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,"Bahamas, The",BHS,40518.1795069369,40953.4839488565,41372.2370983239,40135.9965450675,39757.6680928499,40353.9751920068,40596.8009226953,40408.3869814188,38746.783555254,36500.0676546934,36504.4070465871,36253.6681039906,36961.7485368649,35620.7135644207,35659.931134214,35400.6494660106
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Bahrain,BHR,49406.2910308378,48245.775482163,47311.7455106711,47476.9833537752,47661.3940699161,47493.1483991775,46910.1911420582,47000.3153341983,46408.8320829659,44759.3947196856,44599.804972084,44157.4796400241,45035.9785547932,46930.8307282373,48201.1571717366,48110.7341930587
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Bangladesh,BGD,1937.72919211467,1998.06631990634,2037.23630988193,2097.16874811972,2171.68867544338,2279.53127370224,2399.08222733303,2537.11119756525,2659.04923206241,2762.18047443876,2883.46679391309,3034.95108156758,3195.78104025627,3349.02500775857,3511.64550625961,3700.11082057504
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Barbados,BRB,15124.4362400335,14713.4035365796,14778.8722467196,15050.4034602071,15210.0718404141,15752.3601314013,16612.7345662264,16903.8729554071,16946.6709613034,16019.7146273444,15596.6168113309,15444.7463207601,15335.848046216,15088.4413511106,15041.5547480584,15382.7656890531
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Belarus,BLR,8053.17363808324,8477.08401148315,8961.64111959338,9660.19368845286,10839.9562728165,11940.1865961058,13214.87158024,14417.3535308989,15942.8976797373,16010.439955622,17288.4043493433,18251.7809447653,18576.7286760826,18760.16352402,19066.8868190919,18307.5196678406
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Belgium,BEL,43023.30716339,43347.0501969365,43889.7485927091,44160.0566799357,45539.5854609401,46341.2896407062,47211.6639573888,48589.4600517703,48422.5782305146,47063.8790649801,47971.6303134944,48153.9390923805,48209.991519122,48203.6526833001,48747.6770466387,49455.4413365318
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Belize,BLZ,6599.3393519209,6698.17747351246,6819.48232025267,7261.13776382502,7413.90025955941,7363.87063594467,7519.43495574939,7363.42384655311,7426.89145077263,7257.75547237396,7294.68414297853,7259.85188640883,7264.46477960469,7194.9179052957,7323.14470076649,7358.58229184617
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Benin,BEN,2478.21823775079,2532.63405180985,2570.78730365107,2579.69780730152,2614.21245549017,2581.64225152969,2606.8174487853,2685.13026141894,2738.19438467667,2724.08476657468,2704.7054840378,2707.86970043194,2759.84825577488,2876.90390883027,2975.85478222107,2945.97022066349
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Bermuda,BMU,83181.5263421175,88231.783860841,86364.153739107,88727.3112693061,90195.8115646944,91114.0769901835,95615.3606970562,98257.9926982026,95855.800692618,89961.9827443671,88399.9159492493,85829.3782604391,80982.367755316,80503.6502910788,77361.1048812589,77842.7539032209
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Bhutan,BTN,4061.4990262661,4308.52560449866,4686.01084721764,4957.52912891143,5165.17346931653,5456.70774972036,5761.7501411583,6743.04653246607,6995.7793047569,7393.91785456585,8190.57622279014,8744.95764294872,9084.00445533749,9163.5635511192,9574.0290039124,10086.0727954667
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Bolivia,BOL,5415.52605950999,5402.7594835544,5434.08384675066,5479.26691066365,5605.20188152968,5749.5316491022,5920.70977613223,6085.3864523204,6351.22621099244,6455.96837017486,6612.80335711566,6844.98378288122,7081.38612822582,7444.49080937508,7730.63840212872,7984.41198272424
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Bosnia and Herzegovina,BIH,7114.5527648191,7419.0134138563,7804.16871769608,8110.31643838943,8600.43670289933,9350.94404211336,9856.9688824779,10441.7963196058,11035.0385848851,10755.9711188788,10938.2850480476,11176.876815237,11257.8350659388,11725.2508627353,12066.5870581183,12630.6623426277
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Botswana,BWA,11439.908400073,11253.9430497053,11727.1836973897,12059.2087897589,12167.0150797253,12484.2304348309,13256.974309378,14051.5412554853,14616.002351689,13235.9563332678,14126.382270078,14770.4390405053,15245.9809916856,16786.0964647609,17264.3958032611,16714.3978216526
